date,ticker,name,open,high,low,close,volume,return
2015-09-01,KOSPI,KOSPI 종합지수,1934.43994140625,1939.6700439453125,1914.219970703125,1914.22998046875,324500,
2015-09-02,KOSPI,KOSPI 종합지수,1886.1400146484375,1920.6199951171875,1883.5,1915.219970703125,342000,0.0005171741350182835
2015-09-03,KOSPI,KOSPI 종합지수,1929.780029296875,1931.18994140625,1911.1700439453125,1915.530029296875,297300,0.0001618918967496441
2015-09-04,KOSPI,KOSPI 종합지수,1921.81005859375,1923.06005859375,1879.93994140625,1886.0400390625,361100,-0.01539521165596125
2015-09-07,KOSPI,KOSPI 종합지수,1883.3599853515625,1895.989990234375,1870.5899658203125,1883.219970703125,288200,-0.0014952324982330234
2015-09-08,KOSPI,KOSPI 종합지수,1889.1400146484375,1894.56005859375,1868.47998046875,1878.6800537109375,391900,-0.002410720501488939
2015-09-09,KOSPI,KOSPI 종합지수,1903.280029296875,1934.199951171875,1902.9300537109375,1934.199951171875,516200,0.02955260921159497
2015-09-10,KOSPI,KOSPI 종합지수,1918.4200439453125,1962.1099853515625,1915.43994140625,1962.1099853515625,460300,0.014429756428634866
2015-09-11,KOSPI,KOSPI 종합지수,1942.8800048828125,1951.260009765625,1939.72998046875,1941.3699951171875,503000,-0.010570248553451456
2015-09-14,KOSPI,KOSPI 종합지수,1947.6500244140625,1948.02001953125,1921.449951171875,1931.4599609375,362900,-0.005104660216554646
2015-09-15,KOSPI,KOSPI 종합지수,1930.43994140625,1938.9000244140625,1927.6199951171875,1937.56005859375,390800,0.0031582832570284936
2015-09-16,KOSPI,KOSPI 종합지수,1949.489990234375,1978.6800537109375,1949.1500244140625,1975.449951171875,584800,0.019555467408646443
2015-09-17,KOSPI,KOSPI 종합지수,1989.0699462890625,1989.0699462890625,1972.9300537109375,1976.489990234375,510200,0.0005264821120287699
2015-09-18,KOSPI,KOSPI 종합지수,1978.3900146484375,1996.469970703125,1964.1199951171875,1995.949951171875,523800,0.009845716919210101
2015-09-21,KOSPI,KOSPI 종합지수,1973.239990234375,1980.800048828125,1960.1099853515625,1964.6800537109375,376400,-0.015666674128065217
2015-09-22,KOSPI,KOSPI 종합지수,1973.5400390625,1983.989990234375,1966.050048828125,1982.06005859375,696400,0.008846226564974025
2015-09-23,KOSPI,KOSPI 종합지수,1960.3299560546875,1968.1600341796875,1944.510009765625,1944.6400146484375,857000,-0.01887936936273349
2015-09-24,KOSPI,KOSPI 종합지수,1956.93994140625,1958.72998046875,1944.31005859375,1947.0999755859375,921300,0.001264995535919189
